,DDPG before,DDPG eval,dummy
0,39.0,19.0,14.0
1,34.0,22.0,10.0
2,22.0,19.0,18.0
3,37.0,42.0,12.0
4,31.0,24.0,16.0
5,22.0,24.0,9.0
6,18.0,27.0,21.0
7,22.0,37.0,70.0
8,30.0,32.0,9.0
9,20.0,39.0,29.0
10,23.0,37.0,7.0
11,18.0,34.0,19.0
12,20.0,37.0,50.0
13,19.0,22.0,15.0
14,29.0,29.0,17.0
15,24.0,37.0,25.0
16,21.0,29.0,16.0
17,35.0,55.0,13.0
18,27.0,66.0,15.0
19,22.0,39.0,13.0
20,21.0,66.0,16.0
21,15.0,36.0,8.0
22,25.0,24.0,9.0
23,35.0,42.0,13.0
24,34.0,16.0,12.0
25,23.0,26.0,11.0
26,50.0,48.0,14.0
27,47.0,41.0,25.0
28,26.0,23.0,13.0
29,34.0,27.0,18.0
30,17.0,30.0,23.0
31,39.0,27.0,9.0
32,32.0,34.0,24.0
33,23.0,16.0,11.0
34,34.0,84.0,17.0
35,28.0,33.0,9.0
36,27.0,25.0,13.0
37,25.0,35.0,16.0
38,18.0,26.0,29.0
39,39.0,30.0,11.0
40,36.0,15.0,15.0
41,39.0,43.0,12.0
42,24.0,54.0,18.0
43,48.0,29.0,11.0
44,25.0,24.0,9.0
45,35.0,39.0,10.0
46,31.0,18.0,15.0
47,37.0,31.0,12.0
48,65.0,20.0,19.0
49,56.0,28.0,26.0
50,28.0,35.0,11.0
51,18.0,43.0,21.0
52,31.0,23.0,9.0
53,35.0,55.0,30.0
54,64.0,57.0,25.0
55,45.0,16.0,14.0
56,34.0,33.0,17.0
57,28.0,22.0,14.0
58,34.0,42.0,9.0
59,36.0,17.0,28.0
60,22.0,37.0,9.0
61,25.0,47.0,12.0
62,44.0,18.0,18.0
63,45.0,23.0,11.0
64,26.0,51.0,12.0
65,36.0,33.0,14.0
66,29.0,35.0,8.0
67,51.0,31.0,14.0
68,28.0,32.0,10.0
69,82.0,27.0,14.0
70,45.0,17.0,6.0
71,42.0,32.0,9.0
72,41.0,29.0,12.0
73,54.0,23.0,8.0
74,30.0,28.0,32.0
75,83.0,31.0,19.0
76,32.0,25.0,17.0
77,44.0,21.0,17.0
78,39.0,19.0,10.0
79,27.0,29.0,9.0
80,21.0,23.0,10.0
81,21.0,42.0,17.0
82,28.0,27.0,7.0
83,23.0,37.0,18.0
84,25.0,31.0,24.0
85,27.0,23.0,61.0
86,37.0,31.0,11.0
87,47.0,30.0,52.0
88,55.0,50.0,21.0
89,52.0,24.0,11.0
90,48.0,25.0,9.0
91,30.0,31.0,30.0
92,22.0,71.0,49.0
93,49.0,31.0,19.0
94,32.0,62.0,37.0
95,16.0,25.0,11.0
96,22.0,28.0,13.0
97,89.0,24.0,9.0
98,33.0,41.0,20.0
99,27.0,31.0,21.0
