,Agent before,Agent eval,dummy
0,15.0,228.0,12.0
1,12.0,358.0,11.0
2,32.0,284.0,20.0
3,11.0,189.0,33.0
4,36.0,218.0,17.0
5,27.0,156.0,9.0
6,12.0,242.0,8.0
7,17.0,226.0,21.0
8,16.0,158.0,29.0
9,23.0,195.0,21.0
10,13.0,162.0,10.0
11,19.0,202.0,7.0
12,47.0,251.0,27.0
13,11.0,243.0,22.0
14,15.0,228.0,17.0
15,23.0,157.0,8.0
16,21.0,238.0,10.0
17,11.0,190.0,10.0
18,16.0,188.0,10.0
19,16.0,164.0,8.0
20,9.0,198.0,11.0
21,19.0,207.0,23.0
22,25.0,245.0,47.0
23,11.0,282.0,13.0
24,10.0,296.0,24.0
25,15.0,231.0,14.0
26,18.0,184.0,9.0
27,50.0,306.0,17.0
28,14.0,184.0,14.0
29,8.0,187.0,11.0
30,10.0,319.0,22.0
31,12.0,241.0,10.0
32,23.0,198.0,20.0
33,23.0,213.0,11.0
34,19.0,230.0,11.0
35,17.0,312.0,13.0
36,14.0,203.0,12.0
37,28.0,165.0,10.0
38,20.0,159.0,11.0
39,41.0,200.0,10.0
40,27.0,242.0,15.0
41,24.0,191.0,13.0
42,8.0,190.0,14.0
43,22.0,213.0,12.0
44,14.0,434.0,34.0
45,8.0,217.0,15.0
46,17.0,331.0,33.0
47,20.0,256.0,18.0
48,12.0,184.0,8.0
49,13.0,167.0,12.0
50,10.0,180.0,13.0
51,20.0,192.0,9.0
52,17.0,210.0,15.0
53,14.0,340.0,22.0
54,13.0,204.0,9.0
55,14.0,150.0,10.0
56,11.0,262.0,13.0
57,60.0,274.0,16.0
58,25.0,211.0,15.0
59,13.0,145.0,13.0
60,38.0,263.0,31.0
61,56.0,265.0,8.0
62,10.0,106.0,26.0
63,14.0,236.0,11.0
64,23.0,252.0,8.0
65,36.0,244.0,7.0
66,8.0,237.0,39.0
67,10.0,222.0,8.0
68,40.0,242.0,14.0
69,9.0,228.0,15.0
70,28.0,214.0,38.0
71,19.0,236.0,19.0
72,24.0,165.0,13.0
73,14.0,216.0,15.0
74,15.0,178.0,73.0
75,22.0,232.0,9.0
76,16.0,277.0,16.0
77,12.0,174.0,10.0
78,30.0,267.0,10.0
79,75.0,229.0,19.0
80,12.0,170.0,11.0
81,65.0,200.0,47.0
82,28.0,266.0,12.0
83,18.0,237.0,10.0
84,56.0,179.0,56.0
85,14.0,173.0,15.0
86,18.0,361.0,24.0
87,8.0,204.0,47.0
88,12.0,166.0,17.0
89,40.0,178.0,9.0
90,11.0,243.0,14.0
91,14.0,212.0,10.0
92,17.0,440.0,8.0
93,10.0,285.0,18.0
94,31.0,265.0,10.0
95,28.0,195.0,17.0
96,15.0,166.0,19.0
97,16.0,230.0,40.0
98,15.0,343.0,11.0
99,22.0,183.0,19.0
