,AC before,AC eval,dummy
0,50.0,125.0,27.0
1,38.0,174.0,36.0
2,16.0,160.0,33.0
3,9.0,271.0,17.0
4,12.0,241.0,13.0
5,42.0,205.0,13.0
6,63.0,284.0,14.0
7,40.0,101.0,24.0
8,43.0,109.0,25.0
9,20.0,106.0,25.0
10,32.0,168.0,34.0
11,15.0,255.0,15.0
12,20.0,302.0,35.0
13,22.0,81.0,14.0
14,15.0,53.0,23.0
15,14.0,350.0,26.0
16,18.0,179.0,17.0
17,20.0,125.0,16.0
18,20.0,243.0,25.0
19,11.0,157.0,12.0
20,21.0,207.0,46.0
21,15.0,128.0,77.0
22,15.0,157.0,39.0
23,85.0,157.0,11.0
24,21.0,182.0,13.0
25,61.0,85.0,17.0
26,11.0,190.0,19.0
27,15.0,296.0,30.0
28,37.0,231.0,28.0
29,29.0,260.0,18.0
30,13.0,123.0,16.0
31,23.0,108.0,11.0
32,29.0,173.0,43.0
33,16.0,67.0,41.0
34,18.0,178.0,12.0
35,16.0,187.0,31.0
36,27.0,115.0,23.0
37,23.0,133.0,16.0
38,60.0,244.0,23.0
39,15.0,209.0,24.0
40,11.0,101.0,12.0
41,12.0,125.0,42.0
42,14.0,76.0,36.0
43,11.0,162.0,22.0
44,18.0,147.0,28.0
45,13.0,190.0,18.0
46,64.0,253.0,9.0
47,15.0,231.0,35.0
48,12.0,124.0,16.0
49,45.0,143.0,19.0
50,18.0,153.0,11.0
51,27.0,177.0,21.0
52,31.0,65.0,11.0
53,25.0,235.0,19.0
54,31.0,119.0,17.0
55,31.0,136.0,23.0
56,54.0,311.0,16.0
57,12.0,236.0,18.0
58,25.0,283.0,14.0
59,17.0,222.0,37.0
60,11.0,290.0,26.0
61,24.0,102.0,15.0
62,33.0,181.0,20.0
63,24.0,228.0,13.0
64,33.0,129.0,25.0
65,27.0,131.0,48.0
66,49.0,118.0,32.0
67,25.0,194.0,56.0
68,18.0,166.0,28.0
69,41.0,248.0,25.0
70,17.0,93.0,32.0
71,20.0,133.0,30.0
72,39.0,143.0,43.0
73,15.0,163.0,15.0
74,11.0,93.0,21.0
75,14.0,145.0,22.0
76,16.0,238.0,10.0
77,9.0,148.0,38.0
78,12.0,379.0,11.0
79,18.0,144.0,9.0
80,20.0,232.0,31.0
81,16.0,305.0,23.0
82,20.0,186.0,13.0
83,21.0,145.0,21.0
84,18.0,78.0,33.0
85,39.0,223.0,15.0
86,8.0,34.0,22.0
87,15.0,180.0,16.0
88,13.0,159.0,19.0
89,73.0,83.0,9.0
90,18.0,91.0,13.0
91,20.0,127.0,17.0
92,15.0,201.0,20.0
93,26.0,91.0,43.0
94,20.0,109.0,23.0
95,12.0,66.0,38.0
96,21.0,36.0,13.0
97,34.0,234.0,23.0
98,17.0,188.0,15.0
99,28.0,51.0,23.0
